Price Date,MIC,Ticker,ISIN,Currency,Close Price,Traded Volume,Issued Shares,Traded Value,Market Capitalization,,,,,,
05/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.4400,"1,698","5,625,000"," 9,237.12 "," 30,600,000.00 ",,,,,,
06/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.4200,75,"5,625,000", 406.50 ," 30,487,500.00 ",,,,,,
10/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.4000,"2,400","5,625,000"," 12,960.00 "," 30,375,000.00 ",,,,,,
11/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.4200,180,"5,625,000", 975.60 ," 30,487,500.00 ",,,,,,
13/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.3800,355,"5,625,000"," 1,909.90 "," 30,262,500.00 ",,,,,,
16/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.3800,60,"5,625,000", 322.80 ," 30,262,500.00 ",,,,,,
20/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.3800,280,"5,625,000"," 1,506.40 "," 30,262,500.00 ",,,,,,
23/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.4200,190,"5,625,000"," 1,029.80 "," 30,487,500.00 ",,,,,,
25/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.2600,"1,228","5,625,000"," 6,459.28 "," 29,587,500.00 ",,,,,,
26/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.4200,30,"5,625,000", 162.60 ," 30,487,500.00 ",,,,,,
27/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.4200,626,"5,625,000"," 3,392.92 "," 30,487,500.00 ",,,,,,
30/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.3600,152,"5,625,000", 814.72 ," 30,150,000.00 ",,,,,,
31/01/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.4000,773,"5,625,000"," 4,174.20 "," 30,375,000.00 ",,,,,,
01/02/2023,XBSE,AAB,ROJ1IZXEYIU6,RON,5.6000,"1,395","5,625,000"," 7,812.00 "," 31,500,000.00 ",,,,,,
